Genotype;anthocyanin ug/mg
LAR4N6;3.79448118
BIR2N148;3.84117624
LAR2N22;1.71316731
LAR3N66;0.88495034
LAR3N124;0.91190715
BIR1N94;0.43999379
LAR2N102;0.46852966
LAR2N18;0.09000642
LAR2N35;1.74125202
LAR2N6;0.42961711
LAR4N10;0.44179843
LAR1N123;0.28851682
LAR2N20;0.70787004
LAR3N123;1.46345025
LAR2N54;2.52581926
LAR3N113;0.98488228
LAR3N44;2.88426588
LAR4N1;1.24260743
LAR2N11;0.43525661
LAR2N112;0.77836379
LAR3N34;0.58346267
LAR2N1;3.35922457
LAR3N112;1.32990689
LAR2N29;1.41607845
LAR4N11;0.618304179
LAR3N45;0.746619234
LAR3N65;1.333993476
LAR3N82;0.203077133
LAR4N32;1.372876826
LAR3N49;2.470683408
LAR3N3;0.987578176
LAR3N53;0.576592949
LAR3N41;0.784795614
LAR4N20;0.835226141
LAR4N8;1.243972629
LAR3N109;0.679810569
BIR1N167;7.714044241
LAR3N100;0.290623584
LAR4N25;0.832869574
LAR4N16;0.409630201
LAR2N57;1.652483461
LAR2N33;0.594974169
LAR2N38;1.307128616
LAR2N76;1.093505848
LAR3N55;0.580127799
LAR1N125;1.543727909
BIR2N60;6.449981881
LAR3N67;0.415992931
LAR2N67;0.376619515
LAR2N91;0.407599325
LAR4N31;0.560915465
LAR3N28;1.43208129
LAR2N68;0.278931355
LAR2N79;0.208378795
LAR3N57;0.169936695
LAR2N72;0.281418785
LAR2N86;0.608176635
LAR2N97;0.248629935
LAR2N56;0.303579525
LAR4N7;0.550513485
LAR4N28;0.59110382
LAR4N13;0.29984838
LAR3N9;0.47736043
LAR2N98;0.485614175
LAR4N12;0.38713456
LAR4N30;0.469558945
LAR2N39;0.22884356
LAR4N39;0.59675707
LAR2N17;0.7417064
LAR2N73;0.551644135
LAR3N14;0.4997473
LAR2N77;0.488101605
LAR2N88;0.415475089
LAR3N63;0.348533188
LAR1N119;0.537947004
LAR4N21;0.429122296
LAR2N65;0.787714416
LAR3N43;0.541947048
LAR1N110;0.572653263
BIR1N77;0.398533729
LAR2N112;1.147600668
LAR1N108;0.599947676
LAR3N36;0.300885613
LAR2N60;0.453357853
LAR2N101;1.252542981
LAR3N32;0.613359586
LAR3N23;0.441357723
LAR3N30;0.217002351
LAR3N15;0.252296851
LAR3N38;0.377827623
LAR3N2;0.402533773
LAR3N31;0.345239034
LAR3N5;0.432651746
BIR1N91;0.301473854
LAR2N92;2.005609963
LAR2N72;0.300415019
LAR2N40;4.353308168
BIR2N15;0.428677159
BIR2N94;3.504493881
LAR4N43;0.846057694
BIR2N80;6.504531334
BIR1N185;3.502331848
LAR4N18;0.341979623
LAR2N59;1.057612656
LAR3N90;1.470885328
LAR1N99;4.208451934
LAR2N8;2.563144568
LAR2N2;0.835896138
LAR2N94;1.256735926
LAR1N121;0.497862226
LAR3N76;0.410191774
LAR3N79;0.612882399
LAR1N70;0.761305988
LAR3N120;0.634070326
LAR2N62;1.171551813
LAR2N70;2.640112954
LAR3N95;1.303760151
LAR1N100;0.925404318
LAR1N103;2.456556324
LAR2N44;0.501429581
LAR4N38;0.693763583
LAR3N97;1.631523938
LAR2N84;1.247190278
LAR1N78;0.502515113
LAR1N74;3.102507068
LAR1N30;0.879157508
LAR3N12;0.729809213
LAR4N34;3.410616848
LAR2N31;1.839876863
LAR3N74;0.727168928
BIR1N136;11.32584689
LAR1N114;0.827040578
LAR1N69;0.726939338
BIR1N148;1.694316803
LAR3N60;1.187841263
LAR2N63;0.599746478
BIR2N186;0.913481213
LAR2N69;0.449020643
BIR2N76;1.494917888
LAR2N90;0.464632763
BIR1N171;6.134357813
LAR1N35;0.650485868
LAR4N40;0.554172863
LAR1N76;0.801326498
LAR3N17;0.881959972
LAR1N85;1.630624852
LAR2N55;0.332961183
LAR1N111;0.180418502
LAR3N40;0.259399992
LAR2N21;0.111392662
LAR3N54;0.735611917
LAR1N81;1.098993142
LAR2N32;0.226656965
LAR2N3;0.1725646
LAR4N41;0.413601948
LAR1N109;0.432628302
LAR2N28;0.46061474
LAR4N27;0.306965875
LAR2N115;0.473999558
LAR3N77;0.459619175
LAR3N101;0.465371328
LAR2N120;0.51238412
LAR4N14;0.533069748
LAR3N81;0.377208517
LAR3N26;1.576421868
LAR3N39;0.296346515
LAR4N17;0.485946338
LAR2N12;0.322009968
LAR1N107;0.581611507
LAR1N91;0.7249957
LAR3N114;0.143499547
LAR2N36;0.16922334
LAR3N21;0.54400632
LAR3N107;0.436612367
LAR2N106;0.941398553
LAR2N119;0.92294202
LAR3N86;0.220901633
LAR2N113;0.39866112
BIR1N118;0.33429396
LAR2N58;0.600875513
BIR1N80;0.32252792
LAR2N110;0.41111928
LAR2N121;0.542737433
LAR2N42;0.486445007
LAR3N118;0.346521413
LAR4N10;0.737223153
LAR4N11;0.614487207
LAR2N100;0.663281667
BIR1N86;0.452069713
LAR3N83;1.10808412
LAR1N98;0.509977087
LAR1N75;0.298880487
LAR3N98;0.1461138
LAR3N71;0.32375742
BIR1N24;0.6503712
LAR3N96;0.4745952
LAR1N79;0.4608627
BIR1N64;0.13655598
LAR2N23;0.39505656
BIR1N115;0.22927782
LAR3N108;0.26509218
LAR1N122;0.31738554
